WHR,Consumer Discretionary,0.19,0.33,0.24,0.13,168.0
HBI,Consumer Discretionary,0.0,0.53,0.7,0.2,167.95
HLT,Consumer Discretionary,0.0,1.1,0.0,1.18,167.94
NCLH,Consumer Discretionary,0.0,0.0,0.17,0.43,167.94
NEM,Materials,0.29,0.47,0.18,0.83,167.9
GPC,Consumer Discretionary,0.0,0.34,0.44,0.17,167.81
NWL,Consumer Discretionary,0.0,0.29,0.25,0.23,167.72
GPS,Consumer Discretionary,0.0,0.37,0.33,0.13,167.68
F,Consumer Discretionary,0.0,0.08,0.14,0.07,167.6
IP,Materials,0.95,0.29,0.25,0.19,167.43
NUE,Materials,0.89,0.47,0.15,0.18,167.11
CE,Materials,0.13,0.54,0.36,0.58,167.03
CF,Materials,0.56,0.35,0.16,0.5,166.92
PAYC,Information Technology,3.19,6.08,3.33,5.72,166.48
VIAC,Communication Services,0.46,0.72,0.23,0.31,166.08
UA,Consumer Discretionary,0.0,6.08,0.53,0.39,165.62
UAA,Consumer Discretionary,0.0,7.15,0.64,0.48,165.32
FCX,Materials,0.0,0.0,0.28,0.79,165.08
CMCSA,Communication Services,0.37,0.57,0.24,0.48,164.32
GPN,Information Technology,2.35,2.13,0.19,1.62,164.11
MOS,Materials,0.0,0.73,0.12,0.27,163.98
TYL,Information Technology,2.26,2.09,1.1,3.62,163.95
FOXA,Communication Services,0.25,0.29,0.17,0.33,162.6
FOX,Communication Services,0.24,0.28,0.16,0.32,162.36
FISV,Information Technology,1.88,0.7,0.21,1.05,162.24
OMC,Communication Services,0.25,0.37,0.43,0.22,161.96
IT,Information Technology,1.83,0.9,1.45,0.83,161.69
IR,Industrials,0.0,0.94,0.19,0.75,161.66
WRK,Materials,0.0,0.24,0.1,0.13,161.22
NLSN,Industrials,0.0,0.26,0.34,0.27,161.2
BA,Industrials,0.0,0.0,0.0,0.44,161.0
UAL,Industrials,0.0,0.0,0.18,0.17,160.97
IDXX,Health Care,1.31,2.93,6.7,3.58,160.69
HCA,Health Care,0.42,0.17,4.22,0.24,160.12
INCY,Health Care,0.0,0.0,0.62,1.36,159.61
WDC,Information Technology,2.03,3.15,0.2,0.26,159.58
VRTX,Health Care,0.33,0.6,0.57,1.81,159.34
ZTS,Health Care,0.97,1.64,1.92,2.36,159.23
GILD,Health Care,0.0,0.33,0.43,0.68,159.21
BMY,Health Care,0.0,0.34,0.32,0.66,159.17
BIIB,Health Care,0.2,0.39,0.41,0.69,159.05
CAH,Health Care,0.18,0.17,0.71,0.02,159.0
BSX,Health Care,0.0,1.58,0.32,1.12,158.95
HOLX,Health Care,0.44,0.52,0.54,0.9,158.95
BIO,Health Care,0.1,1.73,0.2,1.55,158.94
ZBH,Health Care,0.0,1.41,0.25,0.95,158.92
PRGO,Health Care,0.0,0.41,0.09,0.23,158.91
PFE,Health Care,0.35,0.62,0.27,0.84,158.87
UHS,Health Care,0.21,0.2,0.17,0.2,158.84
HUM,Health Care,0.22,0.34,0.29,0.13,158.81
UNH,Health Care,0.38,0.51,0.41,0.25,158.72
CI,Health Care,0.28,0.32,0.15,0.1,158.71
HSIC,Health Care,0.25,0.65,0.22,0.2,158.69
CERN,Health Care,0.56,0.99,0.45,0.83,158.67
GE,Industrials,0.33,1.75,0.26,0.27,158.57
PKI,Health Care,0.71,0.93,0.43,0.83,158.57
BAX,Health Care,0.59,1.16,0.41,0.71,158.54
VTRS,Health Care,0.57,0.19,0.07,0.17,158.54
NOC,Industrials,0.28,0.53,0.43,0.28,158.51
WST,Health Care,1.1,2.55,1.1,2.15,158.5
HII,Industrials,0.27,0.33,0.35,0.16,158.48
VAR,Health Care,0.95,1.23,0.66,1.06,158.47
CTLT,Health Care,1.43,0.0,0.48,1.15,158.46
WAT,Health Care,0.94,1.12,0.0,1.53,158.45
CNC,Health Care,0.3,1.69,0.12,0.06,158.26
ILMN,Health Care,2.92,2.57,1.38,4.56,158.12
FTNT,Information Technology,1.37,1.14,3.57,2.23,158.08
ZBRA,Information Technology,1.4,0.98,1.12,1.22,157.98
UNP,Industrials,0.43,0.82,0.76,1.5,157.73
GD,Industrials,0.36,0.54,0.27,0.26,157.72
