code,industry,stockratio,initialPE,initialFCF,initialPB,initialDE
NVDA,Information Technology,255.6,25.64,15.49,3.34,0.61
NVR,Consumer Discretionary,102.33,18.22,33.43,5.16,1.03
ORLY,Consumer Discretionary,110.67,27.61,27.54,12.63,2.4
OXY,Energy,110.73,0.0,0.0,1.63,0.78
ODFL,Industrials,146.31,16.29,42.71,2.91,0.46
OMC,Communication Services,116.25,14.53,7.87,5.32,6.65
OKE,Energy,251.25,14.88,0.0,0.96,3.1
ORCL,Information Technology,105.5,17.19,13.68,3.26,1.3
PCAR,Industrials,139.44,8.74,11.17,2.0,2.04
PKG,Materials,140.11,12.2,11.55,3.2,2.23
PH,Industrials,148.63,14.61,12.1,2.48,1.45
PAYX,Information Technology,113.17,22.93,20.71,8.9,2.24
PAYC,Information Technology,121.78,101.7,82.49,21.86,7.92
PNR,Industrials,116.84,11.87,8.5,1.37,1.95
PBCT,Financials,126.22,14.85,14.13,0.84,7.23
PEP,Consumer Staples,108.59,23.49,15.63,10.38,4.79
PKI,Health Care,98.59,27.93,22.99,2.79,0.97
PRGO,Health Care,58.29,0.0,162.31,1.94,0.92
PFE,Health Care,105.23,20.24,11.81,2.38,1.58
PM,Consumer Staples,109.38,15.38,15.25,-9.18,-3.96
PSX,Energy,109.79,8.84,0.0,1.51,1.03
PNW,Utilities,126.24,13.74,92.48,1.26,2.18
PXD,Energy,144.75,0.0,0.0,2.16,0.81
PNC,Financials,126.7,11.09,7.74,0.9,6.8
POOL,Consumer Discretionary,131.82,26.32,28.88,12.75,2.65
PPG,Materials,98.11,17.65,16.98,4.79,2.37
PPL,Utilities,104.87,26.53,0.0,1.8,2.96
PFG,Financials,134.08,9.1,2.6,1.15,22.32
PG,Consumer Staples,110.17,22.94,14.78,2.95,1.07
PGR,Financials,115.74,12.67,7.39,2.18,3.09
PLD,Real Estate,128.27,22.62,13.72,1.06,0.7
PRU,Financials,133.46,5.38,2.16,0.7,17.06
PEG,Utilities,118.64,9.82,293.98,1.25,1.87
PSA,Real Estate,93.78,34.4,24.92,3.93,0.06
PHM,Consumer Discretionary,105.85,12.09,0.0,1.21,0.93
PVH,Consumer Discretionary,118.7,15.36,12.48,1.63,1.36
QRVO,Information Technology,104.36,0.0,14.18,1.27,0.28
PWR,Industrials,173.36,12.62,8.8,1.04,0.69
QCOM,Information Technology,136.09,13.92,12.42,2.08,0.66
DGX,Health Care,132.87,13.13,16.62,1.94,1.11
RL,Consumer Discretionary,83.38,18.24,19.55,2.23,0.67
RJF,Financials,122.18,16.32,9.65,1.57,4.47
RTX,Industrials,117.98,9.82,14.81,2.49,2.03
O,Real Estate,116.63,38.2,0.0,1.59,0.81
REG,Real Estate,104.73,41.73,153.13,2.64,1.01
REGN,Health Care,68.12,98.52,95.82,15.54,0.54
RF,Financials,154.48,10.94,8.9,0.63,6.48
RSG,Industrials,133.83,18.74,18.57,1.77,1.64
RMD,Health Care,118.88,20.33,17.04,4.59,0.47
RHI,Industrials,106.55,15.78,15.54,5.55,0.67
ROK,Industrials,135.43,15.47,12.59,5.39,1.87
ROL,Industrials,133.75,34.05,33.11,10.08,0.62
ROP,Industrials,97.83,26.85,21.02,3.51,0.92
ROST,Consumer Discretionary,125.72,19.82,25.78,8.2,1.04
RCL,Consumer Discretionary,83.51,30.39,60.62,2.47,1.58
CRM,Information Technology,97.43,0.0,40.88,10.86,1.3
SBAC,Real Estate,98.99,0.0,25.86,-7.67,-5.29
SLB,Energy,124.41,36.7,11.78,2.07,0.89
STX,Information Technology,114.26,13.76,7.39,4.41,3.83
SEE,Materials,103.76,25.36,10.28,15.37,13.05
SRE,Utilities,110.96,15.01,175.87,1.59,2.27
NOW,Information Technology,86.51,0.0,58.53,24.55,2.19
SHW,Materials,105.56,22.19,19.31,26.34,5.66
SPG,Real Estate,95.18,28.67,23.18,9.03,4.86
SWKS,Information Technology,99.51,14.4,25.92,3.89,0.13
SLG,Real Estate,98.67,33.52,0.0,1.07,1.34
SNA,Industrials,102.28,18.96,21.1,3.67,0.78
SO,Utilities,110.74,14.13,55.98,1.52,2.54
LUV,Industrials,117.65,12.7,23.13,3.64,1.9
SWK,Industrials,110.46,16.79,16.58,2.57,1.58
SBUX,Consumer Discretionary,94.58,33.64,31.47,13.61,1.16
STT,Financials,120.69,13.09,0.0,1.11,10.6
STE,Health Care,91.52,47.52,60.54,2.03,0.79
SYK,Health Care,131.63,23.15,46.88,3.84,0.91
